Nes,rep,N,r,window_1,window_2
30.0,24,1000,0.0001,0.029315879992999776,0.029900165492274755
0.0,142,1000,0.0001,0.022980174156707955,0.02483152883244167
0.2,28,1000,0.0001,0.032274669318466065,0.0293751109215462
18.0,1,1000,0.0001,0.01502973459873003,0.02805800696434836
4.0,29,1000,0.0001,0.02597485224661251,0.025720082687134414
0.01,46,1000,0.0001,0.024525187361368148,0.025825865514275886
0.0,46,1000,0.0001,0.022650071067553436,0.015069418806940436
25.0,4,1000,0.0001,0.03177640772338627,0.028625533798690067
0.1,14,1000,0.0001,0.03099415841392085,0.028016956881844236
0.2,31,1000,0.0001,0.026876033018651043,0.02772920707735401
15.0,48,1000,0.0001,0.030302882917146036,0.031017341182059215
50.0,20,1000,0.0001,0.02936616297614895,0.027842454507725534
200.0,28,1000,0.0001,0.032254097983899305,0.031098415009750465
20.0,24,1000,0.0001,0.02383205416370832,0.02568846636931855
0.0,172,1000,0.0001,0.024653223402170243,0.028467392043602303
0.05,29,1000,0.0001,0.02968422767538389,0.021345145921296205
10.0,41,1000,0.0001,0.03064631448672444,0.026580087102355224
0.0,60,1000,0.0001,0.0287195698314916,0.030799332056602895
2.0,26,1000,0.0001,0.028860110303515273,0.020784384111205624
5.0,32,1000,0.0001,0.023352798370918713,0.023455455958798152
0.02,38,1000,0.0001,0.03050415696184811,0.028063029504475465
50.0,0,1000,0.0001,0.022207769107455547,0.02180698713435685
0.02,49,1000,0.0001,0.02494735912895656,0.027171135564778355
8.0,41,1000,0.0001,0.026563106842342244,0.02697021387169367
200.0,41,1000,0.0001,0.03029813748987453,0.029285039733986794
2.0,49,1000,0.0001,0.02790566548127411,0.0287533702075105
0.0,119,1000,0.0001,0.0327344302705137,0.02874607973698697
0.05,35,1000,0.0001,0.025842413386669358,0.02118013455072764
20.0,2,1000,0.0001,0.026931965864293295,0.026507191862593253
2.0,5,1000,0.0001,0.025787478742937235,0.028527454036701955
0.05,14,1000,0.0001,0.028491136784839312,0.02824459031651592
0.0,51,1000,0.0001,0.02168395035251767,0.023770108669433587
0.5,43,1000,0.0001,0.02885436483324175,0.024990143354167837
0.0,101,1000,0.0001,0.023715657290864656,0.021722696835841892
50.0,14,1000,0.0001,0.026728208354417825,0.02400400111105566
2.0,43,1000,0.0001,0.024380675992799812,0.030719835036751898
0.0,136,1000,0.0001,0.02269391450272525,0.022837788904445343
50.0,30,1000,0.0001,0.028342816813840852,0.030147539825991367
0.5,38,1000,0.0001,0.015629781747087464,0.0155327623361169
4.0,4,1000,0.0001,0.02977688879744009,0.02608357857092869
50.0,4,1000,0.0001,0.027300010261513154,0.02781196885944308
0.02,20,1000,0.0001,0.02918560051502583,0.025302416803840298
0.0,113,1000,0.0001,0.025828739988999597,0.028949948441422173
8.0,3,1000,0.0001,0.028842124348217486,0.02629991625281266
0.01,37,1000,0.0001,0.022446000802040213,0.03012159764588247
0.5,49,1000,0.0001,0.027412175643782264,0.02362880764638243
22.0,36,1000,0.0001,0.03007900142707136,0.02468896653232678
10.0,44,1000,0.0001,0.02412780172408639,0.02082303749587499
15.0,14,1000,0.0001,0.029017801928096533,0.0308140773188661
28.0,22,1000,0.0001,0.02604912634131723,0.025129493705685426
18.0,0,1000,0.0001,0.03070380393019663,0.02983122221011063
4.0,35,1000,0.0001,0.025686178545927498,0.032094709047452506
0.5,16,1000,0.0001,0.026447745467273437,0.03128681213960713
5.0,24,1000,0.0001,0.024656583615180794,0.023863750884544364
15.0,29,1000,0.0001,0.02744852222211116,0.026941835284764397
4.0,23,1000,0.0001,0.02771608709535481,0.027798343682184146
15.0,13,1000,0.0001,0.028848386143307318,0.029994322960148128
8.0,21,1000,0.0001,0.028715972621631194,0.026056968780439137
0.01,11,1000,0.0001,0.02128476834341723,0.025989533687684484
18.0,23,1000,0.0001,0.028101108684434314,0.03187975555077763
0.2,22,1000,0.0001,0.0237308994089706,0.029079402877143973
0.0,144,1000,0.0001,0.02944763133656686,0.03180904957447884
0.01,38,1000,0.0001,0.02522898548827457,0.03353733397269884
0.0,8,1000,0.0001,0.027235062707135473,0.019087458858943033
200.0,39,1000,0.0001,0.026716477754887894,0.029844934265713448
15.0,37,1000,0.0001,0.029315027249362653,0.02756784043302187
18.0,44,1000,0.0001,0.025763263684184388,0.027559705806290424
0.0,23,1000,0.0001,0.022445946619331143,0.023918577488874607
0.0,16,1000,0.0001,0.02813007280164024,0.0322646260243014
200.0,33,1000,0.0001,0.028591157960898214,0.029698360892044712
100.0,9,1000,0.0001,0.029795418839942085,0.02863324406320324
0.0,26,1000,0.0001,0.024984919654982847,0.025357412144607405
0.02,2,1000,0.0001,0.03301922931446591,0.03242364812440635
10.0,42,1000,0.0001,0.025733743660183096,0.02066844071203571
1.0,21,1000,0.0001,0.030330832628631555,0.03114868908245427
0.05,37,1000,0.0001,0.025959039616980952,0.030372198621931246
0.2,18,1000,0.0001,0.02477445810590531,0.02166515354667744
12.0,8,1000,0.0001,0.022679841173058712,0.02515660828141425
24.0,33,1000,0.0001,0.03159094735436784,0.029112348658433023
0.0,181,1000,0.0001,0.027577856949847615,0.02746409092554638
0.0,99,1000,0.0001,0.02751803028751449,0.026958144223211186
0.0,166,1000,0.0001,0.027419820822041238,0.026495891668583647
5.0,33,1000,0.0001,0.02741139217460888,0.02710963868493435
0.0,176,1000,0.0001,0.03383173789189464,0.029573977507875503
100.0,6,1000,0.0001,0.02525867172958659,0.024905056185809436
5.0,5,1000,0.0001,0.029776366447322487,0.025875910286514408
0.2,9,1000,0.0001,0.03004183720586046,0.028213890377519004
0.0,77,1000,0.0001,0.0316671659642983,0.0306010329316467
4.0,42,1000,0.0001,0.03192984183209176,0.02904745288964458
0.0,102,1000,0.0001,0.03342881985999307,0.027627843508175483
1.0,44,1000,0.0001,0.027936668994449815,0.030353959340967167
0.02,16,1000,0.0001,0.03194804723736203,0.028160288910445575
18.0,32,1000,0.0001,0.02599570918745948,0.02935707205060262
4.0,33,1000,0.0001,0.028164625624281348,0.020380356951847728
0.05,17,1000,0.0001,0.02706678971748611,0.028059295347767528
0.05,33,1000,0.0001,0.02682617022951153,0.027366873742687203
2.0,35,1000,0.0001,0.02989445876793852,0.025850437047852615
2.0,28,1000,0.0001,0.02233763233661695,0.028261852219611125
0.05,34,1000,0.0001,0.030911595921796202,0.02910590326216331
0.2,26,1000,0.0001,0.022979317550877648,0.021408096359818107
